Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty_level
731,4 5 6 7,8.81,89.8,9.2,3.97,medium
505,2 5 6 8,7.54,95.5,8.02,3.05,easy
1148,3 6 8 12,15.49,80.3,14.11,6.22,hard
1050,2 5 11 12,12.53,77.3,10.88,5.66,very_hard
321,2 2 5 5,6.74,93.4,7.11,2.49,easy
22,1 1 13 13,5.13,99.4,5.46,1.65,very_easy
785,2 2 3 6,9.15,91.6,9.46,4.16,medium
39,1 1 1 11,5.28,97.5,5.6,1.68,very_easy
808,4 4 5 10,9.34,85.9,9.36,4.8,hard
957,1 9 10 13,10.99,83.7,10.54,4.58,hard
173,1 10 10 12,6.04,92.6,6.27,2.13,medium
812,7 12 12 13,9.36,82.8,9.14,4.23,hard
1215,1 3 3 8,19.79,73.9,16.15,7.92,very_hard
523,2 3 4 12,7.6,94.4,8.11,3.28,easy
983,3 3 6 12,11.41,87.3,11.66,6.05,hard
791,4 7 10 10,9.18,83.8,8.91,4.19,hard
896,2 5 8 11,10.32,85.9,10.46,5.18,hard
389,8 8 10 13,7.02,90.6,7.47,3.13,medium
337,5 6 7 7,6.83,87.3,6.95,2.79,hard
1212,2 2 9 10,19.5,65.5,14.59,7.49,very_hard
1123,2 4 9 10,14.54,79.3,13.32,6.08,hard
42,2 2 3 8,5.3,98.2,5.68,1.89,very_easy
260,1 6 6 13,6.47,97.4,6.87,2.47,very_easy
59,3 8 10 10,5.42,95.6,5.86,2.21,easy
751,4 4 6 11,8.96,86.4,8.93,4.58,hard
1230,6 8 10 11,21.4,63.9,14.39,7.77,very_hard
1152,2 5 9 11,15.64,76.5,13.67,7.23,very_hard
1106,4 10 10 12,13.92,77.7,12.38,6.4,very_hard
565,7 10 12 12,7.79,84.7,7.89,3.93,hard
1343,5 5 7 11,93.75,26.6,27.77,14.9,very_hard
799,2 5 8 9,9.26,92.8,9.61,3.82,easy
212,5 5 5 6,6.22,96.4,6.68,2.32,very_easy
696,6 6 8 9,8.59,90.3,8.94,3.61,medium
753,2 5 7 10,8.97,92.1,9.33,3.77,medium
877,6 7 9 12,10.08,86.4,10.02,4.88,hard
1019,6 8 9 12,11.95,86.5,11.88,5.13,hard
237,1 2 2 8,6.36,93.5,6.8,2.7,easy
668,6 8 8 10,8.36,91.0,8.82,4.03,medium
1277,4 4 7 13,31.61,53.7,15.57,9.62,very_hard
789,3 5 6 7,9.17,89.6,9.23,3.88,medium
1149,3 3 9 10,15.55,77.7,13.99,6.4,very_hard
1075,6 9 10 12,13.13,80.2,11.88,6.2,hard
524,3 3 5 5,7.6,89.5,7.89,3.26,medium
1294,3 6 6 10,40.63,50.1,19.3,11.17,very_hard
945,2 3 9 10,10.79,89.9,11.02,4.35,medium
613,4 4 4 5,8.03,85.0,8.05,3.96,hard
20,3 3 3 8,5.06,98.2,5.45,1.81,very_easy
165,1 6 7 10,6.01,98.5,6.57,2.26,very_easy
324,4 4 5 5,6.75,93.3,7.24,2.64,easy
118,4 8 11 11,5.76,95.3,6.08,2.0,easy
1089,3 5 6 13,13.52,76.2,11.76,5.83,very_hard
995,2 4 6 11,11.52,85.2,11.29,5.58,hard
1354,3 6 6 11,116.34,27.2,26.76,16.97,very_hard
308,1 7 7 11,6.69,97.1,7.27,2.64,very_easy
142,4 5 12 13,5.92,97.7,6.43,2.15,very_easy
1329,5 6 8 13,70.86,36.0,23.62,12.39,very_hard
1116,2 3 8 9,14.37,80.8,13.22,6.46,hard
629,4 5 8 9,8.13,89.3,8.55,4.17,medium
282,1 6 7 11,6.58,97.4,7.17,2.88,very_easy
271,6 10 10 10,6.51,95.9,6.78,2.28,easy
832,2 3 8 11,9.59,92.7,10.18,4.05,easy
384,2 8 12 12,7.01,95.3,7.36,2.61,easy
1174,1 3 8 10,16.72,71.0,12.77,6.8,very_hard
40,1 8 8 8,5.29,97.9,5.63,1.9,very_easy
986,6 8 8 12,11.42,88.2,11.63,5.07,medium
1226,5 9 12 13,21.2,64.5,16.15,7.38,very_hard
1357,3 5 7 13,126.36,23.6,41.19,22.83,very_hard
253,1 3 8 9,6.44,92.3,7.03,3.36,medium
450,2 9 10 12,7.27,94.1,7.63,2.88,easy
52,9 9 12 12,5.37,98.4,5.87,2.12,very_easy
719,1 2 5 13,8.7,94.4,9.2,3.62,easy
216,2 2 4 5,6.24,98.3,6.61,2.08,very_easy
1186,6 8 9 10,17.33,71.1,13.38,7.48,very_hard
250,1 2 8 8,6.43,96.2,7.0,2.72,very_easy
19,1 1 2 6,5.05,98.6,5.39,1.61,very_easy
209,8 8 11 12,6.2,91.0,6.59,2.7,medium
55,1 1 4 5,5.4,97.9,5.78,1.99,very_easy
309,7 8 11 12,6.69,96.2,7.16,2.68,very_easy
427,3 5 5 6,7.19,89.3,7.49,3.3,medium
245,4 7 12 12,6.39,88.5,6.74,3.02,medium
748,2 6 7 8,8.95,89.6,9.24,4.04,medium
1085,5 6 10 12,13.45,75.8,11.49,5.8,very_hard
814,2 10 11 11,9.39,86.2,9.37,4.06,hard
1129,6 7 10 10,14.95,70.2,11.22,6.21,very_hard
733,6 8 9 13,8.82,94.1,9.47,3.95,easy
1042,5 8 10 12,12.28,84.2,11.56,5.32,hard
1279,2 2 7 10,32.87,53.2,17.3,9.56,very_hard
222,11 12 13 13,6.26,95.3,6.75,2.49,easy
1164,2 5 5 9,16.17,78.5,14.73,6.1,very_hard
687,5 5 8 8,8.53,84.8,8.58,4.01,hard
1340,5 7 7 11,90.56,27.5,26.17,13.4,very_hard
428,1 7 7 9,7.2,96.1,7.58,2.88,very_easy
30,7 7 12 12,5.19,98.6,5.58,1.83,very_easy
219,7 7 12 13,6.25,93.9,6.69,2.38,easy
1300,1 7 13 13,48.42,41.2,15.01,9.29,very_hard
602,3 4 7 9,7.97,93.4,8.41,3.67,easy
1323,5 8 9 13,64.93,36.3,34.89,16.78,very_hard
456,1 2 4 10,7.32,96.2,7.78,3.18,very_easy
41,12 12 12 12,5.29,99.3,5.73,2.07,very_easy
1010,1 3 4 8,11.74,89.6,11.94,4.82,medium
695,1 2 3 3,8.59,95.7,8.96,2.98,easy
1158,4 7 8 12,15.88,79.1,14.47,7.01,very_hard
1337,4 8 8 13,88.2,29.6,25.48,15.07,very_hard
794,2 3 9 9,9.19,90.9,9.6,4.02,medium
698,2 10 11 13,8.61,89.7,8.68,3.45,medium
1177,1 5 5 10,16.9,70.7,12.4,7.41,very_hard
1126,3 5 12 12,14.61,67.9,9.99,5.98,very_hard
1233,2 3 9 12,21.65,66.4,13.79,8.09,very_hard
699,4 4 4 9,8.61,88.1,8.62,4.06,hard
223,1 1 5 7,6.27,96.6,6.61,2.12,very_easy
1037,3 7 9 12,12.18,85.5,11.98,5.7,hard
803,2 2 3 11,9.31,86.2,9.29,4.21,hard
1247,2 3 6 8,23.67,75.3,20.58,8.92,very_hard
912,4 5 7 9,10.44,87.0,10.69,5.18,hard
976,2 3 10 12,11.33,86.8,11.45,4.2,hard
206,1 5 7 13,6.2,97.9,6.6,2.12,very_easy
1243,10 10 10 12,23.18,59.7,11.16,7.62,very_hard
205,1 5 5 12,6.2,90.1,6.41,2.38,medium
1131,2 5 9 10,14.96,78.0,13.46,6.37,very_hard
125,3 4 4 6,5.81,97.5,6.15,1.95,very_easy
569,4 8 10 11,7.81,90.8,8.12,3.49,medium
1203,2 6 9 10,18.75,69.6,14.97,6.81,very_hard
61,5 5 12 12,5.43,98.8,5.8,1.73,very_easy
202,1 2 4 8,6.18,96.6,6.59,2.38,very_easy
514,5 7 13 13,7.57,94.1,7.99,3.24,easy
356,7 9 13 13,6.9,96.6,7.46,2.76,very_easy
1285,6 7 11 11,35.84,47.1,20.55,10.47,very_hard
11,1 1 2 8,4.96,97.8,5.31,1.73,very_easy
969,8 8 10 12,11.21,78.8,10.1,5.82,very_hard
642,2 7 8 11,8.23,94.9,8.76,3.57,easy
104,1 2 5 12,5.71,95.5,6.15,2.2,easy
943,6 11 12 13,10.77,80.1,9.89,5.14,hard
1188,2 6 6 9,17.49,72.4,13.73,6.89,very_hard
918,1 5 9 13,10.51,84.8,10.36,4.87,hard
1283,2 5 8 12,34.7,54.6,18.62,10.36,very_hard
665,2 7 11 12,8.34,91.4,8.69,3.48,medium
378,4 7 8 8,6.99,94.3,7.41,2.6,easy
1165,4 4 5 13,16.23,72.3,12.58,7.4,very_hard
149,1 4 5 12,5.95,95.8,6.39,2.37,easy
201,1 1 9 13,6.18,97.3,6.63,2.52,very_easy
711,1 3 4 10,8.67,93.1,8.98,3.44,easy
701,3 3 7 11,8.62,92.2,8.93,3.65,medium
1350,3 3 5 7,108.12,29.4,31.08,20.1,very_hard
1280,1 4 6 10,33.87,55.6,20.1,10.18,very_hard
443,6 6 12 13,7.24,90.4,7.7,3.16,medium
996,2 4 9 12,11.52,87.3,11.49,4.9,hard
792,1 3 5 10,9.19,93.2,9.67,3.84,easy
1225,1 3 8 11,21.0,73.4,17.35,8.41,very_hard
195,1 2 6 8,6.15,96.2,6.49,2.36,very_easy
512,1 7 9 9,7.57,94.8,8.03,3.17,easy
1035,4 6 8 13,12.16,80.4,11.2,5.26,hard
1274,6 6 9 13,31.07,53.7,14.12,9.06,very_hard
749,2 9 11 11,8.95,89.4,9.29,4.07,medium
675,1 2 8 9,8.39,93.4,8.97,3.48,easy
302,1 6 8 10,6.65,97.3,7.09,2.43,very_easy
631,3 9 12 13,8.15,89.6,8.62,4.0,medium
191,1 6 8 9,6.13,98.3,6.57,2.35,very_easy
1029,1 4 8 9,12.07,89.0,12.16,5.21,medium
1082,3 3 5 10,13.34,83.1,12.37,5.42,hard
329,3 3 5 6,6.76,96.5,7.38,2.69,very_easy
923,5 6 8 10,10.54,87.0,10.64,4.62,hard
204,3 8 11 12,6.18,94.2,6.69,2.72,easy
252,2 12 12 13,6.43,95.7,6.84,2.43,easy
1234,2 3 5 8,21.76,73.5,18.48,8.02,very_hard
506,3 5 10 12,7.54,94.8,8.11,3.19,easy
157,1 2 11 11,5.97,97.4,6.47,2.42,very_easy
345,5 7 11 11,6.86,96.3,7.27,2.65,very_easy
841,3 3 3 9,9.64,84.3,9.58,4.9,hard
64,1 9 9 12,5.47,95.8,5.77,1.8,easy
1290,7 9 11 12,37.72,50.1,18.7,11.0,very_hard
1278,2 5 12 13,31.66,58.2,22.46,10.08,very_hard
477,3 6 11 12,7.39,93.3,7.82,3.18,easy
879,1 7 9 10,10.1,87.0,10.0,3.98,hard
406,6 7 10 13,7.08,96.6,7.62,2.8,very_easy
703,2 9 12 13,8.63,90.8,9.02,3.91,medium
2,1 1 3 8,4.4,99.2,4.67,1.47,very_easy
138,1 3 6 12,5.92,96.8,6.33,2.22,very_easy
831,3 3 6 11,9.58,90.3,9.94,4.55,medium
1297,5 10 10 11,44.72,41.6,15.54,7.64,very_hard
1031,5 5 8 12,12.09,79.4,11.08,5.11,hard
1223,2 2 4 12,20.66,75.6,16.28,9.65,very_hard
609,10 12 13 13,8.01,94.5,8.52,3.0,easy
754,9 10 11 13,8.97,89.8,9.27,3.92,medium
1266,3 9 11 13,28.07,56.9,14.56,8.8,very_hard
312,3 6 6 7,6.7,93.8,7.18,2.71,easy
716,2 8 11 12,8.68,88.5,8.91,4.23,medium
857,2 3 6 11,9.85,90.1,10.1,4.47,medium
1066,4 8 12 12,12.93,85.7,12.33,5.97,hard
672,1 4 5 11,8.38,90.7,8.66,4.02,medium
682,2 8 9 13,8.46,90.0,8.64,3.71,medium
1327,7 10 12 13,67.67,37.5,22.99,13.25,very_hard
1253,6 6 7 11,25.85,58.2,13.93,8.67,very_hard
669,1 1 7 10,8.37,85.0,8.4,4.33,hard
707,3 11 12 12,8.64,91.1,9.01,3.45,medium
946,2 5 10 10,10.79,78.8,9.94,4.23,very_hard
467,6 6 6 11,7.35,88.8,7.65,3.55,medium
781,6 6 8 10,9.13,90.5,9.38,4.21,medium
541,4 8 12 13,7.68,92.0,8.33,3.75,medium
1195,10 12 12 12,17.98,64.1,10.76,6.08,very_hard
288,2 3 11 13,6.59,91.8,7.06,2.91,medium
1132,5 5 9 11,14.98,71.4,12.54,5.39,very_hard
403,2 6 7 12,7.08,92.3,7.33,3.01,medium
1006,2 3 5 7,11.71,89.2,11.8,4.93,medium
1256,8 9 11 11,26.13,58.4,16.68,8.89,very_hard
742,4 8 9 11,8.91,92.8,9.39,3.94,easy
115,1 6 6 11,5.76,98.3,6.23,2.24,very_easy
1034,1 2 7 12,12.16,77.1,10.24,5.9,very_hard
487,5 6 8 8,7.42,92.4,7.86,3.05,medium
973,2 4 5 6,11.29,91.0,11.73,4.5,medium
891,6 7 8 9,10.26,84.5,9.99,4.59,hard
937,6 9 9 11,10.69,82.4,10.01,5.19,hard
1092,5 7 11 13,13.53,70.8,10.39,5.51,very_hard
355,3 3 3 3,6.9,96.0,7.57,3.41,very_easy
492,3 5 6 8,7.44,93.8,7.98,3.23,easy
620,6 6 7 10,8.07,84.0,8.09,4.22,hard
901,4 6 7 10,10.33,86.9,10.47,4.9,hard
502,2 2 4 7,7.49,95.1,8.15,3.16,easy
436,3 7 7 9,7.23,86.8,7.31,3.0,hard
1246,5 9 11 13,23.49,61.4,16.86,7.77,very_hard
1068,4 4 6 9,12.95,76.8,11.02,5.86,very_hard
704,3 3 8 12,8.63,91.6,9.13,3.93,medium
640,1 8 11 13,8.23,88.3,8.42,3.6,medium
1043,7 8 9 10,12.33,79.7,11.27,5.5,hard
909,1 2 8 13,10.43,91.6,10.65,4.76,medium
783,3 4 4 5,9.14,91.2,9.52,4.19,medium
119,3 8 8 8,5.77,97.6,6.13,2.15,very_easy
726,6 8 8 11,8.75,87.1,8.85,3.94,hard
522,1 5 5 6,7.6,95.1,8.15,3.14,easy
921,3 6 9 12,10.53,92.8,10.98,4.25,easy
1150,3 6 6 13,15.58,72.6,12.51,6.77,very_hard
1128,4 6 9 12,14.9,77.2,12.84,7.0,very_hard
998,2 3 3 10,11.59,85.0,11.61,5.03,hard
520,3 9 13 13,7.59,86.2,7.73,3.38,hard
335,2 2 2 4,6.8,96.1,7.16,2.49,very_easy
177,1 2 6 12,6.05,96.9,6.43,2.26,very_easy
1115,4 5 8 10,14.35,75.5,11.88,6.11,very_hard
45,2 11 11 12,5.33,97.3,5.73,2.01,very_easy
1014,7 8 10 10,11.81,79.2,11.02,5.21,very_hard
462,3 4 5 12,7.33,97.1,7.72,2.71,very_easy
460,5 9 10 10,7.32,92.9,7.74,3.14,easy
238,4 4 10 13,6.36,93.6,6.83,2.82,easy
554,2 2 2 10,7.76,93.9,8.19,3.37,easy
491,3 3 9 9,7.44,95.9,7.78,2.79,easy
587,1 5 6 10,7.93,91.7,8.25,3.26,medium
1252,2 5 10 12,25.64,64.7,18.57,9.0,very_hard
1169,5 6 9 13,16.53,68.9,12.64,6.15,very_hard
715,2 4 6 9,8.68,92.1,9.17,4.15,medium
1242,4 5 7 10,23.06,63.5,15.29,8.41,very_hard
263,2 8 11 11,6.48,88.9,6.66,2.84,medium
75,1 1 1 13,5.54,97.4,5.88,1.77,very_easy
17,4 6 11 11,5.03,98.9,5.42,1.74,very_easy
1139,5 9 9 12,15.17,75.9,13.5,6.89,very_hard
817,3 4 6 12,9.4,93.5,9.92,3.99,easy
461,1 1 6 8,7.33,95.0,7.69,2.54,easy
303,4 4 4 4,6.65,97.9,7.21,2.97,very_easy
407,2 9 9 11,7.09,87.5,7.11,2.8,hard
395,1 3 10 11,7.05,96.3,7.7,3.16,very_easy
605,3 6 10 10,8.0,85.5,8.0,3.76,hard
1156,2 5 8 8,15.8,71.5,12.2,6.89,very_hard
914,7 9 9 13,10.45,87.8,10.5,4.67,hard
361,1 2 11 13,6.92,93.5,7.54,3.16,easy
878,6 10 12 12,10.09,88.8,10.37,4.59,medium
256,1 5 7 8,6.45,94.9,6.84,2.48,easy
997,4 4 9 12,11.55,78.1,10.48,4.94,very_hard
650,3 7 8 12,8.26,95.1,8.77,3.27,easy
780,4 12 12 12,9.13,86.5,9.47,4.86,hard
162,1 3 6 8,6.0,95.8,6.44,2.55,easy
1117,2 4 7 9,14.38,80.4,13.45,6.38,hard
343,1 6 8 11,6.85,97.8,7.3,2.44,very_easy
225,2 2 2 8,6.28,96.4,6.85,2.71,very_easy
927,2 4 6 7,10.56,89.8,10.65,4.36,medium
509,2 6 9 11,7.56,95.8,8.08,3.17,easy
838,5 8 9 12,9.61,92.2,10.03,4.04,medium
1217,2 3 10 10,19.99,68.7,14.87,7.66,very_hard
496,1 2 7 10,7.46,90.8,8.07,4.12,medium
1048,3 3 3 11,12.44,78.6,11.14,5.62,very_hard
1059,4 9 10 11,12.76,76.7,10.97,5.86,very_hard
1189,6 6 9 10,17.53,70.3,13.87,7.18,very_hard
353,2 4 4 8,6.89,96.5,7.29,2.66,very_easy
38,4 4 4 6,5.27,98.2,5.66,1.95,very_easy
501,5 5 9 9,7.48,85.3,7.74,3.53,hard
203,2 8 13 13,6.18,90.2,6.5,2.62,medium
1341,4 8 8 11,92.5,29.7,24.64,15.06,very_hard
110,1 2 2 12,5.74,97.8,6.12,2.0,very_easy
949,1 4 4 11,10.87,86.6,10.84,5.35,hard
488,1 8 11 12,7.43,91.6,7.95,3.45,medium
508,4 7 9 9,7.55,86.6,7.69,3.25,hard
582,3 6 6 9,7.89,96.3,8.4,3.07,very_easy
16,1 1 4 8,5.03,98.2,5.4,1.83,very_easy
307,1 2 5 5,6.69,95.1,7.24,2.94,easy
612,3 7 12 12,8.03,91.3,8.43,3.53,medium
483,1 5 9 9,7.42,94.4,7.89,3.22,easy
236,6 7 11 12,6.35,97.0,6.89,2.61,very_easy
851,3 3 5 9,9.78,87.2,9.77,4.06,hard
23,1 2 3 4,5.14,99.2,5.5,1.83,very_easy
709,1 6 10 13,8.66,88.3,8.89,4.23,medium
1244,5 7 10 13,23.22,61.5,16.86,7.68,very_hard
824,3 4 7 11,9.52,86.8,9.34,4.64,hard
482,5 6 11 13,7.41,91.4,7.89,3.41,medium
1326,2 4 11 12,66.78,40.0,25.12,14.69,very_hard
793,2 2 5 7,9.19,89.2,9.23,3.72,medium
1038,4 6 6 12,12.19,86.0,12.0,6.07,hard
306,1 3 13 13,6.68,97.2,7.21,2.64,very_easy
1074,3 5 11 12,13.1,79.8,11.71,5.82,hard
833,2 4 4 7,9.59,89.2,9.69,4.32,medium
207,2 11 11 11,6.2,89.6,6.27,2.48,medium
1163,5 7 12 12,16.14,65.9,10.66,6.27,very_hard
713,2 4 7 11,8.67,92.7,9.07,3.86,easy
881,2 4 5 11,10.13,87.3,10.25,4.77,hard
1000,2 4 4 6,11.61,90.0,11.93,4.85,medium
102,1 1 2 10,5.7,95.7,6.01,1.84,easy
24,11 11 12 12,5.14,98.8,5.54,1.88,very_easy
661,4 6 8 12,8.3,94.1,8.95,3.55,easy
1276,4 5 9 12,31.4,60.0,23.36,10.97,very_hard
184,4 7 7 8,6.09,93.9,6.58,2.54,easy
1036,1 3 3 6,12.18,87.2,12.17,5.29,hard
1310,1 3 9 10,57.65,41.2,24.11,13.29,very_hard
479,3 6 6 6,7.4,94.5,7.88,3.26,easy
732,4 5 8 8,8.82,86.9,8.93,4.13,hard
372,9 11 11 11,6.95,95.5,7.3,2.74,easy
444,2 5 12 12,7.25,83.3,7.57,4.22,hard
170,2 8 8 12,6.02,97.4,6.54,2.48,very_easy
902,7 8 9 13,10.33,84.0,10.01,4.35,hard
1211,2 6 7 10,19.37,69.8,13.66,7.61,very_hard
106,4 4 11 13,5.71,98.1,6.31,2.37,very_easy
342,1 5 6 6,6.85,93.8,7.55,3.46,easy
1335,2 7 8 9,76.88,38.7,19.82,12.36,very_hard
685,2 4 4 4,8.51,94.7,8.97,3.29,easy
154,4 8 10 10,5.96,97.3,6.37,2.15,very_easy
1102,6 9 11 12,13.83,75.0,11.43,6.18,very_hard
1180,1 4 10 12,17.18,72.1,13.14,6.88,very_hard
1218,2 2 4 4,20.38,71.5,15.57,8.44,very_hard
885,6 11 11 12,10.17,86.6,10.04,4.07,hard
1214,2 4 7 8,19.66,76.1,17.29,7.51,very_hard
