Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1041,1 5 8 11,12.26,89.4%,12.62,5.59
1042,5 8 10 12,12.28,84.2%,11.56,5.32
1043,7 8 9 10,12.33,79.7%,11.27,5.5
1044,2 5 5 7,12.34,82%,11.78,5
1045,2 5 7 13,12.35,84%,12.07,5.81
1046,4 8 9 13,12.38,82%,11.39,6.27
1047,2 4 4 10,12.43,90%,12.72,5.31
1048,3 3 3 11,12.44,78.6%,11.14,5.62
1049,2 9 11 13,12.52,82.1%,11.82,5.69
1050,2 5 11 12,12.53,77.3%,10.88,5.66
1051,6 9 9 12,12.53,86.8%,12.41,5.83
1052,3 4 8 9,12.54,88.2%,12.58,5.17
1053,2 4 4 5,12.58,81.6%,11.64,5.35
1054,2 5 7 11,12.61,82.2%,12,5.95
1055,7 9 10 11,12.63,77.3%,11.17,5.47
1056,4 4 6 10,12.66,88%,12.65,5.29
1057,2 3 6 12,12.68,91.3%,13.09,5.34
1058,7 10 10 12,12.68,77.8%,11.54,5.49
1059,4 9 10 11,12.76,76.7%,10.97,5.86
1060,1 4 5 7,12.81,87.9%,12.75,5.34
1061,2 6 6 7,12.83,78.4%,11.18,5.88
1062,3 3 3 4,12.85,82.1%,11.83,5.97
1063,3 4 9 9,12.86,84.6%,12.52,5.25
1064,1 4 7 9,12.88,82%,12.06,5.15
1065,3 3 6 8,12.93,74.4%,10.76,5.87
1066,4 8 12 12,12.93,85.7%,12.33,5.97
1067,4 6 9 13,12.94,85.5%,12.87,5.31
1068,4 4 6 9,12.95,76.8%,11.02,5.86
1069,4 4 7 8,12.95,83.9%,12.64,5.76
1070,7 7 9 10,12.97,75.8%,11.5,5.27
1071,4 10 11 13,13.02,75.7%,10.96,5.9
1072,3 5 6 11,13.05,82.6%,12.42,6.82
1073,2 4 5 7,13.07,78%,11.54,5.72
1074,3 5 11 12,13.1,79.8%,11.71,5.82
1075,6 9 10 12,13.13,80.2%,11.88,6.2
1076,2 5 10 13,13.14,82.2%,12.65,6.05
1077,1 4 5 9,13.23,82.1%,12.33,6.75
1078,2 4 8 13,13.25,82.1%,12.4,6.01
1079,3 3 9 13,13.25,74.1%,10.99,6.2
1080,2 3 3 3,13.26,82.2%,12.19,6.03
1081,1 5 8 13,13.33,80%,11.93,6.12
1082,3 3 5 10,13.34,83.1%,12.37,5.42
1083,4 7 10 12,13.36,79.2%,11.83,5.78
1084,2 3 5 10,13.45,80.2%,12.15,5.4
1085,5 6 10 12,13.45,75.8%,11.49,5.8
1086,5 7 7 9,13.47,73.7%,11.43,5.28
1087,2 3 8 8,13.49,79.9%,12.25,6.01
1088,2 2 2 7,13.5,72.8%,10.3,6.21
1089,3 5 6 13,13.52,76.2%,11.76,5.83
1090,3 5 7 8,13.52,85.6%,13.21,6.11
1091,4 4 6 8,13.52,83.2%,12.74,6.94
1092,5 7 11 13,13.53,70.8%,10.39,5.51
1093,1 4 6 6,13.55,80.1%,12.22,6.5
1094,4 5 8 13,13.55,77.8%,11.94,6.17
1095,5 7 10 10,13.68,77.2%,12.46,5.5
1096,4 4 5 12,13.69,79%,12.11,6.39
1097,5 5 7 10,13.71,74.1%,11.78,5.2
1098,5 9 10 13,13.76,78.1%,12.06,6.08
1099,7 10 11 13,13.78,73.9%,11.39,5.99
1100,1 4 5 8,13.8,82.2%,12.93,5.93
1101,1 5 6 11,13.81,80.5%,12.42,6.7
1102,6 9 11 12,13.83,75%,11.43,6.18
1103,2 7 10 11,13.86,78.7%,12.67,6.29
1104,6 9 11 13,13.86,72%,10.79,6.37
1105,2 8 10 13,13.87,80.9%,13.05,6.27
1106,4 10 10 12,13.92,77.7%,12.38,6.4
1107,1 1 6 9,14.03,80.6%,12.04,6.79
1108,6 8 11 12,14.05,77.8%,12.58,5.81
1109,6 7 7 10,14.08,72.2%,11.24,5.54
1110,2 2 2 9,14.11,75.7%,11.47,6.59
1111,1 3 6 10,14.23,82%,12.64,7
1112,3 3 9 11,14.3,79.6%,13.32,5.83
1113,2 3 7 8,14.31,80.4%,13.17,5.79
1114,3 8 9 11,14.32,79.7%,13.13,7.09
1115,4 5 8 10,14.35,75.5%,11.88,6.11
1116,2 3 8 9,14.37,80.8%,13.22,6.46
1117,2 4 7 9,14.38,80.4%,13.45,6.38
1118,6 12 12 12,14.38,76%,12.07,6.95
1119,2 10 12 13,14.5,81.4%,13.6,6.3
1120,3 5 5 11,14.51,79.8%,13.42,5.64
1121,2 2 5 9,14.53,73.9%,12.16,6.48
1122,3 3 8 10,14.53,81.4%,13.82,5.73
1123,2 4 9 10,14.54,79.3%,13.32,6.08
1124,3 5 9 9,14.57,78.8%,13.36,6.29
1125,1 3 7 9,14.58,80.2%,13.05,5.68
1126,3 5 12 12,14.61,67.9%,9.99,5.98
1127,5 7 9 11,14.72,70.6%,11.25,5.95
1128,4 6 9 12,14.9,77.2%,12.84,7
1129,6 7 10 10,14.95,70.2%,11.22,6.21
1130,1 3 5 6,14.96,86.7%,14.63,6.01
1131,2 5 9 10,14.96,78%,13.46,6.37
1132,5 5 9 11,14.98,71.4%,12.54,5.39
1133,2 2 3 4,15.01,77.2%,13.13,6.06
1134,3 4 4 10,15.04,76.7%,12.51,6.9
1135,2 6 12 13,15.09,78.6%,13.78,6.1
1136,2 6 9 12,15.1,82.9%,14.11,6.7
1137,5 6 6 12,15.15,80.9%,13.96,6.35
1138,3 3 4 13,15.16,76.4%,12.76,7.08
1139,5 9 9 12,15.17,75.9%,13.5,6.89
1140,3 4 7 12,15.19,82.9%,14.54,6.46
1141,3 4 10 10,15.21,75.4%,13.28,6.3
1142,4 4 4 10,15.24,76.6%,13.02,6.5
1143,3 6 8 13,15.27,81.8%,14.73,6.46
1144,3 4 4 11,15.34,76.1%,13.15,6.66
1145,6 10 10 13,15.4,68.9%,11.44,6.42
1146,1 5 11 12,15.47,71.2%,11.73,6.23
1147,2 2 5 10,15.49,78.2%,13.92,6.04
1148,3 6 8 12,15.49,80.3%,14.11,6.22
1149,3 3 9 10,15.55,77.7%,13.99,6.4
1150,3 6 6 13,15.58,72.6%,12.51,6.77
1151,3 6 11 13,15.59,72.6%,11.84,7
1152,2 5 9 11,15.64,76.5%,13.67,7.23
1153,2 2 7 7,15.7,69.7%,11.73,6.18
1154,4 5 8 11,15.74,73%,12.54,7.21
1155,2 4 10 11,15.75,79.6%,14.42,6.59
1156,2 5 8 8,15.8,71.5%,12.2,6.89
1157,5 5 5 12,15.8,67.3%,10.53,6.46
1158,4 7 8 12,15.88,79.1%,14.47,7.01
1159,5 7 8 10,16.01,70.3%,12.64,6.03
1160,1 4 4 6,16.04,79.6%,14.05,6.95
1161,7 9 12 12,16.07,64.1%,9.77,5.79
1162,4 6 8 10,16.14,76.3%,13.37,7.93
1163,5 7 12 12,16.14,65.9%,10.66,6.27
1164,2 5 5 9,16.17,78.5%,14.73,6.1
1165,4 4 5 13,16.23,72.3%,12.58,7.4
1166,2 6 11 12,16.26,77.1%,14.44,6.64
1167,2 3 8 10,16.27,81.9%,15.41,6.73
1168,7 7 7 12,16.4,64.6%,9.4,6.24
1169,5 6 9 13,16.53,68.9%,12.64,6.15
1170,2 6 10 11,16.57,74%,13.81,7.09
1171,4 5 7 13,16.63,72.2%,13.02,6.56
1172,3 3 8 13,16.64,69.1%,11.85,6.47
1173,2 3 6 7,16.7,80.9%,15.38,6.83
1174,1 3 8 10,16.72,71%,12.77,6.8
1175,1 3 12 13,16.74,75.5%,14.15,7.15
1176,5 5 6 8,16.88,78.6%,15.18,6.67
1177,1 5 5 10,16.9,70.7%,12.4,7.41
1178,3 10 11 13,17.14,71%,13.85,6.6
1179,4 9 9 12,17.15,71.1%,13.82,6.77
1180,1 4 10 12,17.18,72.1%,13.14,6.88
1181,2 4 4 9,17.21,73.1%,13.77,7.61
1182,3 9 9 13,17.21,67.5%,12.62,6.36
1183,2 2 6 7,17.25,72.5%,13.63,7.19
1184,2 3 7 7,17.32,76.9%,15.56,6.72
1185,4 7 8 11,17.32,68%,11.43,7.08
1186,6 8 9 10,17.33,71.1%,13.38,7.48
1187,1 3 11 12,17.35,75.7%,14.81,7.51
1188,2 6 6 9,17.49,72.4%,13.73,6.89
1189,6 6 9 10,17.53,70.3%,13.87,7.18
1190,6 10 11 12,17.62,69.2%,13.62,6.63
1191,2 3 7 10,17.64,77.1%,15.4,7.03
1192,2 7 10 10,17.74,67.9%,13.96,6.07
1193,6 6 6 10,17.8,65.7%,11.88,6.7
1194,2 2 9 12,17.95,72.9%,15.43,6.7
1195,10 12 12 12,17.98,64.1%,10.76,6.08
1196,5 7 7 10,18.07,67.9%,13.81,6.95
1197,8 8 8 11,18.2,63.1%,10.85,6.35
1198,3 5 8 9,18.28,75.7%,16.28,7.77
1199,3 8 9 13,18.43,74%,15.96,7.45
1200,2 8 10 12,18.46,80.3%,17.03,7.82
1201,2 6 8 9,18.49,73.1%,15.64,6.78
1202,3 5 7 12,18.51,71.2%,14.73,8.1
1203,2 6 9 10,18.75,69.6%,14.97,6.81
1204,3 9 9 11,18.75,69.7%,14.35,7.79
1205,3 5 12 13,18.76,68.4%,14.77,6.66
1206,4 5 6 9,18.84,75.6%,16.91,7.21
1207,3 4 8 13,18.96,69.8%,14.29,8.17
1208,3 6 8 10,18.96,65.8%,12.54,7.19
1209,8 10 12 13,18.99,67.4%,14.74,6.55
1210,9 9 9 12,19.36,63.1%,10.35,7.05
1211,2 6 7 10,19.37,69.8%,13.66,7.61
1212,2 2 9 10,19.5,65.5%,14.59,7.49
1213,2 7 10 12,19.59,70.6%,16.13,7.14
1214,2 4 7 8,19.66,76.1%,17.29,7.51
1215,1 3 3 8,19.79,73.9%,16.15,7.92
1216,4 8 9 12,19.85,72.6%,16.99,7.21
1217,2 3 10 10,19.99,68.7%,14.87,7.66
1218,2 2 4 4,20.38,71.5%,15.57,8.44
1219,2 3 11 11,20.46,67.9%,15.49,7.84
1220,3 5 9 10,20.47,67.9%,15.22,8.08
1221,6 8 8 9,20.55,62.8%,12.15,7.35
1222,8 10 12 12,20.55,63.4%,11.9,7.62
1223,2 2 4 12,20.66,75.6%,16.28,9.65
1224,1 5 7 10,20.8,69.8%,16.69,7.91
1225,1 3 8 11,21,73.4%,17.35,8.41
1226,5 9 12 13,21.2,64.5%,16.15,7.38
1227,3 6 9 13,21.24,69.6%,17.56,7.85
1228,3 5 10 11,21.36,68.9%,16.41,8.56
1229,9 11 12 12,21.39,59.2%,11.02,6.56
1230,6 8 10 11,21.4,63.9%,14.39,7.77
1231,7 8 8 10,21.4,61.2%,12.86,8.3
1232,4 4 8 9,21.5,69.7%,17.31,8.54
1233,2 3 9 12,21.65,66.4%,13.79,8.09
1234,2 3 5 8,21.76,73.5%,18.48,8.02
1235,1 2 8 10,21.88,67.4%,15.79,8.18
1236,1 6 10 12,21.94,65.6%,14.8,8.32
1237,3 3 7 8,21.94,69.1%,17.56,8.35
1238,2 7 12 12,22.01,62%,12.92,7.86
1239,2 3 3 5,22.25,69.4%,16.58,8.96
1240,3 5 7 11,22.91,63.9%,15.2,8.37
1241,2 9 10 10,23.02,62%,17.33,7.81
1242,4 5 7 10,23.06,63.5%,15.29,8.41
1243,10 10 10 12,23.18,59.7%,11.16,7.62
1244,5 7 10 13,23.22,61.5%,16.86,7.68
1245,2 4 5 10,23.37,67.8%,17.83,8.49
1246,5 9 11 13,23.49,61.4%,16.86,7.77
1247,2 3 6 8,23.67,75.3%,20.58,8.92
1248,1 5 9 12,24.41,62.7%,14.68,9.03
1249,3 4 5 13,24.58,65.9%,18.63,8.79
1250,4 10 11 12,25.09,63.2%,17.84,9.11
1251,5 7 9 10,25.2,61.5%,16.63,9.3
1252,2 5 10 12,25.64,64.7%,18.57,9
1253,6 6 7 11,25.85,58.2%,13.93,8.67
1254,8 8 9 12,25.97,56.8%,13.13,7.81
1255,2 4 5 5,26.07,59.7%,15.8,8.59
1256,8 9 11 11,26.13,58.4%,16.68,8.89
1257,4 9 10 12,26.14,62.1%,17.63,9.51
1258,5 6 6 9,26.22,59.3%,14.85,9.05
1259,2 2 6 11,26.33,62.1%,19.06,9.03
1260,3 4 4 4,26.45,67%,19.09,10.61
1261,2 2 5 8,26.55,63.1%,17.2,9.33
1262,5 6 7 9,26.92,60.2%,16.65,9.39
1263,3 4 7 8,27.12,60.3%,15.38,8.89
1264,4 7 8 10,27.43,62.3%,19.39,9.47
1265,3 5 10 10,27.65,53.9%,13.53,7.55
1266,3 9 11 13,28.07,56.9%,14.56,8.8
1267,2 3 13 13,28.12,58.5%,18.48,9.94
1268,3 4 5 11,28.57,63.7%,21.03,10.14
1269,4 10 10 11,29.05,54.6%,19.84,9.36
1270,1 4 9 13,29.07,61%,19.69,10.53
1271,1 7 12 13,29.09,55.7%,15.71,9.57
1272,2 6 9 9,29.56,57.5%,15.62,9.24
1273,3 3 6 6,30.58,57.3%,15.03,9.1
1274,6 6 9 13,31.07,53.7%,14.12,9.06
1275,2 3 7 9,31.21,58.2%,18.8,10.47
1276,4 5 9 12,31.4,60%,23.36,10.97
1277,4 4 7 13,31.61,53.7%,15.57,9.62
1278,2 5 12 13,31.66,58.2%,22.46,10.08
1279,2 2 7 10,32.87,53.2%,17.3,9.56
1280,1 4 6 10,33.87,55.6%,20.1,10.18
1281,3 6 7 10,33.87,57.5%,22.75,10.95
1282,1 2 7 7,34.5,54.6%,18.15,10.74
1283,2 5 8 12,34.7,54.6%,18.62,10.36
1284,3 8 10 12,35.54,53.8%,21.22,11.06
1285,6 7 11 11,35.84,47.1%,20.55,10.47
1286,2 5 7 9,35.86,53.2%,24.07,10.64
1287,2 4 7 7,35.92,51.2%,17.8,9.8
1288,2 2 3 10,36.17,54.6%,18.73,10.75
1289,4 7 9 11,37.33,52.3%,23.35,11.48
1290,7 9 11 12,37.72,50.1%,18.7,11
1291,2 2 6 9,38.45,51.5%,19.11,10.89
1292,5 5 8 11,39.63,46.8%,25.01,11.4
1293,2 2 3 5,40.37,51%,16.11,9.44
1294,3 6 6 10,40.63,50.1%,19.3,11.17
1295,1 5 11 11,43.04,43.5%,17.24,10.51
1296,7 8 9 12,43.05,48.2%,16.81,10.34
1297,5 10 10 11,44.72,41.6%,15.54,7.64
1298,4 9 11 11,46.7,44.4%,26.17,14.27
1299,1 2 9 11,48.23,44.8%,23.86,13.27
1300,1 7 13 13,48.42,41.2%,15.01,9.29
1301,1 5 5 5,48.64,43.4%,12.59,7.79
1302,5 9 10 11,49.16,42.6%,29.27,14.16
1303,5 10 10 13,49.67,39%,17.55,8.21
1304,6 7 7 11,49.96,42.9%,28.85,15.3
1305,3 3 7 7,51.64,40.6%,13.59,8.27
1306,8 9 10 12,51.75,43.1%,23.1,14.36
1307,3 5 8 13,52.88,42.6%,31.67,14.79
1308,2 5 6 9,54.23,44.5%,28.3,14.14
1309,1 6 11 13,55.57,38.4%,19.78,10.92
1310,1 3 9 10,57.65,41.2%,24.11,13.29
1311,4 4 7 7,57.78,39.2%,15.7,9.07
1312,4 6 6 10,58.5,40%,23.51,13.05
1313,5 7 9 12,59.78,39.7%,18.61,11.95
1314,4 6 7 9,59.86,42.1%,20.49,12.65
1315,4 5 6 12,59.93,44%,22.12,16.14
1316,4 7 11 13,61.48,37.6%,31.9,16.65
1317,4 4 10 10,62.74,39.6%,14.27,9.71
1318,3 5 8 12,63.22,38.6%,28.59,13.88
1319,2 2 11 11,63.59,39.6%,14.16,9.44
1320,5 7 10 11,63.65,36.2%,25.09,14.05
1321,3 4 6 13,63.74,40.2%,21.13,12.28
1322,4 5 6 11,64.1,38%,20.12,11.41
1323,5 8 9 13,64.93,36.3%,34.89,16.78
1324,6 12 12 13,64.93,37.5%,15.92,9.02
1325,6 7 8 12,65.75,40.6%,18.19,13.2
1326,2 4 11 12,66.78,40%,25.12,14.69
1327,7 10 12 13,67.67,37.5%,22.99,13.25
1328,2 2 13 13,68.95,36.6%,15.43,9.44
1329,5 6 8 13,70.86,36%,23.62,12.39
1330,6 11 12 12,71.52,35.7%,16.62,10.01
1331,1 4 7 11,74.51,36%,31.45,17.39
1332,2 2 6 13,74.57,33.5%,31.45,17.06
1333,5 6 9 11,75.77,33.4%,27.15,15.34
1334,6 9 9 10,76.54,32.8%,34.97,19.53
1335,2 7 8 9,76.88,38.7%,19.82,12.36
1336,2 5 7 8,87.16,33.3%,28.92,16.34
1337,4 8 8 13,88.2,29.6%,25.48,15.07
1338,7 8 8 13,88.81,29.7%,27.68,15.93
1339,2 7 7 10,90.16,27.6%,28.27,13.75
1340,5 7 7 11,90.56,27.5%,26.17,13.4
1341,4 8 8 11,92.5,29.7%,24.64,15.06
1342,3 8 8 10,93.37,29.2%,27.45,17.61
1343,5 5 7 11,93.75,26.6%,27.77,14.9
1344,3 3 7 13,96.38,27.2%,33.97,19.79
1345,2 2 10 11,98.41,30.8%,26.65,17.39
1346,9 11 12 13,98.8,29%,22.99,13.76
1347,2 3 8 13,100.15,31.6%,24.72,13.63
1348,1 8 12 12,104.21,29.2%,22.07,13.9
1349,7 8 10 11,104.51,29.9%,26.02,15.8
1350,3 3 5 7,108.12,29.4%,31.08,20.1
1351,2 9 13 13,110.69,25.2%,32.24,19.93
1352,3 7 9 13,111.27,26%,40.49,22.12
1353,2 4 10 10,115.1,26%,30.66,19.86
1354,3 6 6 11,116.34,27.2%,26.76,16.97
1355,2 4 7 12,117.85,27.3%,31.34,18.82
1356,1 6 6 8,121.68,28.3%,23.92,15.32
1357,3 5 7 13,126.36,23.6%,41.19,22.83
1358,3 3 8 8,131.38,30%,16.45,11.41
1359,2 5 5 10,191.22,21.6%,24.43,17.3
1360,1 4 5 6,193.11,28.7%,19.48,12.98
1361,1 3 4 6,209.26,26.6%,20.64,13.16
1362,2 3 5 12,211.03,20.4%,30.98,23.05
